StationID,Latitude,Longitude,Title,TotalCapacity_kW,StationType,Bands
336,53.20645123841692,-0.6113765298878207,,100.0,Fast site,Fast (8–49kW);Slow (3–8kW)
337,51.4394463224322,0.761312850920604,,100.0,Fast site,Fast (8–49kW);Slow (3–8kW)
338,52.443762405107,-1.9382944787294,,100.0,Fast site,Fast (8–49kW);Slow (3–8kW)
339,51.453713,-0.152131,,99.0,Fast site,Slow (3–8kW)
340,51.498666,-0.270009,,99.0,Fast site,Slow (3–8kW)
341,51.505446,-0.305113,,99.0,Fast site,Slow (3–8kW)
342,51.500553,-0.314964,,99.0,Fast site,Slow (3–8kW)
343,51.472115,-0.335491,,99.0,Fast site,Slow (3–8kW)
344,51.472691,-0.285578,,99.0,Fast site,Slow (3–8kW)
345,51.380987,-0.219354,,99.0,Fast site,Slow (3–8kW)
346,51.587599,-0.079707,,99.0,Fast site,Slow (3–8kW)
347,51.539714,-0.02769,,99.0,Fast site,Slow (3–8kW)
348,51.598588,-0.120237,,99.0,Fast site,Slow (3–8kW)
349,51.520362,-0.054573,,99.0,Fast site,Slow (3–8kW)
350,51.590127,-0.108546,,99.0,Fast site,Slow (3–8kW)
351,51.589857,-0.144013,,99.0,Fast site,Slow (3–8kW)
352,51.485856,-0.235263,,99.0,Fast site,Slow (3–8kW)
