RowID,StationID,Latitude,Longitude,Capacity_kW,Quantity,Level_OCM,DfT_Level
5581,279162,50.79111815,0.290476738,22.0,4,Level 2 : Medium (Over 2kW),Fast (8–49kW)
5582,279161,52.93811338,-1.290862548,22.0,2,Level 2 : Medium (Over 2kW),Fast (8–49kW)
5583,279160,52.93982837,-1.290477531,22.0,2,Level 2 : Medium (Over 2kW),Fast (8–49kW)
5584,279159,51.43433535,-1.07369779,22.0,4,Level 2 : Medium (Over 2kW),Fast (8–49kW)
5585,279158,50.75146032,-1.927403399,22.0,4,Level 2 : Medium (Over 2kW),Fast (8–49kW)
5586,279157,52.19096475,-1.697778651,22.0,4,Level 2 : Medium (Over 2kW),Fast (8–49kW)
5587,279156,51.55964135,-0.746061953,22.0,2,Level 2 : Medium (Over 2kW),Fast (8–49kW)
5588,279155,53.71784391,-1.394816071,22.0,2,Level 2 : Medium (Over 2kW),Fast (8–49kW)
5589,279154,51.19135722554175,-1.6678794663969492,22.0,2,Level 2 : Medium (Over 2kW),Fast (8–49kW)
5590,279153,52.83879881,-0.629750435,22.0,4,Level 2 : Medium (Over 2kW),Fast (8–49kW)
